Index: 0, curve = 1, point = 137
Index: 1, curve = 2, point = 0
Index: 2, curve = 2, point = 1
Index: 3, curve = 2, point = 2
Index: 4, curve = 2, point = 3
Index: 5, curve = 2, point = 4
Index: 6, curve = 2, point = 5
Index: 7, curve = 2, point = 6
Index: 8, curve = 2, point = 7
Index: 9, curve = 2, point = 8
Index: 10, curve = 2, point = 9
Index: 11, curve = 2, point = 10
Index: 12, curve = 2, point = 11
Index: 13, curve = 2, point = 12
Index: 14, curve = 2, point = 13
Index: 15, curve = 2, point = 14
Index: 16, curve = 2, point = 15
Index: 17, curve = 2, point = 16
Index: 18, curve = 2, point = 17
Index: 19, curve = 2, point = 18
Index: 20, curve = 2, point = 19
Index: 21, curve = 2, point = 20
Index: 22, curve = 2, point = 21
Index: 23, curve = 2, point = 22
Index: 24, curve = 2, point = 23
Index: 25, curve = 2, point = 24
Index: 26, curve = 2, point = 25
Index: 27, curve = 2, point = 26
Index: 28, curve = 2, point = 27
Index: 29, curve = 2, point = 28
Index: 30, curve = 2, point = 29
Index: 31, curve = 2, point = 30
Index: 32, curve = 2, point = 31
Index: 33, curve = 2, point = 32
Index: 34, curve = 2, point = 33
Index: 35, curve = 2, point = 34
Index: 36, curve = 2, point = 35
Index: 37, curve = 2, point = 36
Index: 38, curve = 2, point = 37
Index: 39, curve = 2, point = 38
Index: 40, curve = 2, point = 39
Index: 41, curve = 2, point = 40
Index: 42, curve = 2, point = 41
Index: 43, curve = 2, point = 42
Index: 44, curve = 2, point = 43
Index: 45, curve = 2, point = 44
Index: 46, curve = 2, point = 45
Index: 47, curve = 2, point = 46
Index: 48, curve = 2, point = 47
Index: 49, curve = 2, point = 48
Index: 50, curve = 2, point = 49
Index: 51, curve = 2, point = 50
Index: 52, curve = 2, point = 51
Index: 53, curve = 2, point = 52
Index: 54, curve = 2, point = 53
Index: 55, curve = 2, point = 54
Index: 56, curve = 2, point = 55
Index: 57, curve = 2, point = 56
Index: 58, curve = 2, point = 57
Index: 59, curve = 2, point = 58
Index: 60, curve = 2, point = 59
Index: 61, curve = 2, point = 60
Index: 62, curve = 2, point = 61
Index: 63, curve = 2, point = 62
Index: 64, curve = 2, point = 63
Index: 65, curve = 2, point = 64
Index: 66, curve = 2, point = 65
Index: 67, curve = 2, point = 66
Index: 68, curve = 2, point = 67
Index: 69, curve = 2, point = 68
Index: 70, curve = 2, point = 69
Index: 71, curve = 2, point = 70
Index: 72, curve = 2, point = 71
Index: 73, curve = 2, point = 72
Index: 74, curve = 2, point = 73
Index: 75, curve = 2, point = 74
Index: 76, curve = 2, point = 75
Index: 77, curve = 2, point = 76
Index: 78, curve = 2, point = 77
Index: 79, curve = 2, point = 78
Index: 80, curve = 2, point = 79
Index: 81, curve = 2, point = 80
Index: 82, curve = 2, point = 81
Index: 83, curve = 2, point = 82
Index: 84, curve = 2, point = 83
Index: 85, curve = 2, point = 84
Index: 86, curve = 2, point = 85
Index: 87, curve = 2, point = 86
Index: 88, curve = 2, point = 87
Index: 89, curve = 2, point = 88
Index: 90, curve = 2, point = 89
Index: 91, curve = 2, point = 90
Index: 92, curve = 2, point = 91
Index: 93, curve = 2, point = 92
Index: 94, curve = 2, point = 93
Index: 95, curve = 2, point = 94
Index: 96, curve = 2, point = 95
Index: 97, curve = 2, point = 96
Index: 98, curve = 2, point = 97
Index: 99, curve = 2, point = 98
Index: 100, curve = 2, point = 99
Index: 101, curve = 2, point = 100
Index: 102, curve = 2, point = 101
Index: 103, curve = 2, point = 102
Index: 104, curve = 2, point = 103
Index: 105, curve = 2, point = 104
Index: 106, curve = 2, point = 105
