Index: 0, curve = -1, point = -1
Index: 1, curve = 0, point = 0
Index: 2, curve = 0, point = 1
Index: 3, curve = 0, point = 2
Index: 4, curve = 0, point = 3
Index: 5, curve = 0, point = 4
Index: 6, curve = 0, point = 5
Index: 7, curve = 0, point = 6
Index: 8, curve = 0, point = 7
Index: 9, curve = 0, point = 8
Index: 10, curve = 0, point = 9
Index: 11, curve = 0, point = 10
Index: 12, curve = 0, point = 11
Index: 13, curve = 0, point = 12
Index: 14, curve = 0, point = 13
Index: 15, curve = 0, point = 14
Index: 16, curve = 0, point = 15
Index: 17, curve = 0, point = 16
Index: 18, curve = 0, point = 17
Index: 19, curve = 0, point = 18
Index: 20, curve = 0, point = 19
Index: 21, curve = 0, point = 20
Index: 22, curve = 0, point = 21
Index: 23, curve = 0, point = 22
Index: 24, curve = 0, point = 23
Index: 25, curve = 0, point = 24
Index: 26, curve = 0, point = 25
